X=169, Y=409, Pressure=1672, Time=2016-05-16-17-33-34:7220
X=170, Y=409, Pressure=1688, Time=2016-05-16-17-33-34:7260
X=173, Y=409, Pressure=1682, Time=2016-05-16-17-33-34:7320
X=176, Y=407, Pressure=1702, Time=2016-05-16-17-33-34:7360
X=180, Y=406, Pressure=1694, Time=2016-05-16-17-33-34:7420
X=184, Y=405, Pressure=1686, Time=2016-05-16-17-33-34:7460
X=191, Y=402, Pressure=1704, Time=2016-05-16-17-33-34:7520
X=196, Y=401, Pressure=1710, Time=2016-05-16-17-33-34:7560
X=201, Y=398, Pressure=1708, Time=2016-05-16-17-33-34:7620
X=207, Y=397, Pressure=1706, Time=2016-05-16-17-33-34:7660
X=213, Y=395, Pressure=1712, Time=2016-05-16-17-33-34:7720
X=220, Y=393, Pressure=1708, Time=2016-05-16-17-33-34:7760
X=226, Y=391, Pressure=1708, Time=2016-05-16-17-33-34:7820
X=232, Y=389, Pressure=1743, Time=2016-05-16-17-33-34:7860
X=237, Y=387, Pressure=1741, Time=2016-05-16-17-33-34:7920
X=243, Y=386, Pressure=1741, Time=2016-05-16-17-33-34:7960
X=248, Y=384, Pressure=1745, Time=2016-05-16-17-33-34:8020
X=253, Y=383, Pressure=1751, Time=2016-05-16-17-33-34:8060
X=258, Y=382, Pressure=1741, Time=2016-05-16-17-33-34:8120
X=262, Y=380, Pressure=1755, Time=2016-05-16-17-33-34:8180
X=266, Y=380, Pressure=1761, Time=2016-05-16-17-33-34:8220
X=270, Y=379, Pressure=1745, Time=2016-05-16-17-33-34:8280
X=273, Y=378, Pressure=1772, Time=2016-05-16-17-33-34:8320
X=277, Y=378, Pressure=1784, Time=2016-05-16-17-33-34:8380
X=278, Y=378, Pressure=1747, Time=2016-05-16-17-33-34:8420
X=280, Y=377, Pressure=1743, Time=2016-05-16-17-33-34:8480
X=282, Y=377, Pressure=1704, Time=2016-05-16-17-33-34:8520
X=284, Y=377, Pressure=1610, Time=2016-05-16-17-33-34:8580
X=286, Y=377, Pressure=1467, Time=2016-05-16-17-33-34:8630
X=288, Y=377, Pressure=1187, Time=2016-05-16-17-33-34:8690
X=448, Y=214, Pressure=1686, Time=2016-05-16-17-33-35:1460
X=449, Y=214, Pressure=1694, Time=2016-05-16-17-33-35:1470
X=450, Y=214, Pressure=1706, Time=2016-05-16-17-33-35:1520
X=451, Y=214, Pressure=1717, Time=2016-05-16-17-33-35:1560
X=452, Y=213, Pressure=1729, Time=2016-05-16-17-33-35:1620
X=453, Y=213, Pressure=1733, Time=2016-05-16-17-33-35:1660
X=454, Y=213, Pressure=1745, Time=2016-05-16-17-33-35:1720
X=455, Y=213, Pressure=1751, Time=2016-05-16-17-33-35:1760
X=455, Y=213, Pressure=1757, Time=2016-05-16-17-33-35:1820
X=456, Y=213, Pressure=1770, Time=2016-05-16-17-33-35:1860
X=456, Y=213, Pressure=1786, Time=2016-05-16-17-33-35:1920
X=456, Y=213, Pressure=1800, Time=2016-05-16-17-33-35:1960
X=457, Y=213, Pressure=1794, Time=2016-05-16-17-33-35:2020
X=457, Y=213, Pressure=1804, Time=2016-05-16-17-33-35:2060
X=457, Y=213, Pressure=1800, Time=2016-05-16-17-33-35:2120
X=457, Y=213, Pressure=1798, Time=2016-05-16-17-33-35:2160
X=457, Y=214, Pressure=1794, Time=2016-05-16-17-33-35:2220
X=456, Y=215, Pressure=1800, Time=2016-05-16-17-33-35:2260
X=455, Y=216, Pressure=1798, Time=2016-05-16-17-33-35:2320
X=453, Y=219, Pressure=1794, Time=2016-05-16-17-33-35:2380
X=450, Y=223, Pressure=1794, Time=2016-05-16-17-33-35:2420
X=448, Y=226, Pressure=1800, Time=2016-05-16-17-33-35:2480
X=445, Y=230, Pressure=1792, Time=2016-05-16-17-33-35:2520
X=441, Y=235, Pressure=1817, Time=2016-05-16-17-33-35:2580
X=437, Y=239, Pressure=1808, Time=2016-05-16-17-33-35:2620
X=432, Y=245, Pressure=1825, Time=2016-05-16-17-33-35:2680
X=427, Y=250, Pressure=1823, Time=2016-05-16-17-33-35:2720
X=421, Y=256, Pressure=1813, Time=2016-05-16-17-33-35:2790
X=416, Y=262, Pressure=1831, Time=2016-05-16-17-33-35:2820
X=410, Y=268, Pressure=1845, Time=2016-05-16-17-33-35:2880
X=404, Y=275, Pressure=1843, Time=2016-05-16-17-33-35:2920
X=398, Y=281, Pressure=1845, Time=2016-05-16-17-33-35:2980
X=393, Y=286, Pressure=1853, Time=2016-05-16-17-33-35:3020
X=388, Y=292, Pressure=1862, Time=2016-05-16-17-33-35:3080
X=383, Y=297, Pressure=1851, Time=2016-05-16-17-33-35:3120
X=379, Y=302, Pressure=1860, Time=2016-05-16-17-33-35:3180
X=375, Y=307, Pressure=1860, Time=2016-05-16-17-33-35:3220
X=371, Y=311, Pressure=1843, Time=2016-05-16-17-33-35:3280
X=368, Y=314, Pressure=1839, Time=2016-05-16-17-33-35:3320
X=366, Y=317, Pressure=1843, Time=2016-05-16-17-33-35:3380
X=364, Y=320, Pressure=1831, Time=2016-05-16-17-33-35:3420
X=363, Y=322, Pressure=1821, Time=2016-05-16-17-33-35:3480
X=362, Y=324, Pressure=1833, Time=2016-05-16-17-33-35:3520
X=362, Y=325, Pressure=1827, Time=2016-05-16-17-33-35:3580
X=362, Y=326, Pressure=1819, Time=2016-05-16-17-33-35:3620
X=362, Y=327, Pressure=1819, Time=2016-05-16-17-33-35:3680
X=363, Y=327, Pressure=1827, Time=2016-05-16-17-33-35:3720
X=364, Y=328, Pressure=1819, Time=2016-05-16-17-33-35:3780
X=367, Y=328, Pressure=1825, Time=2016-05-16-17-33-35:3820
X=369, Y=328, Pressure=1831, Time=2016-05-16-17-33-35:3880
X=372, Y=328, Pressure=1825, Time=2016-05-16-17-33-35:3920
X=374, Y=328, Pressure=1843, Time=2016-05-16-17-33-35:3980
X=378, Y=327, Pressure=1857, Time=2016-05-16-17-33-35:4040
X=384, Y=325, Pressure=1839, Time=2016-05-16-17-33-35:4080
X=388, Y=323, Pressure=1825, Time=2016-05-16-17-33-35:4140
X=395, Y=321, Pressure=1831, Time=2016-05-16-17-33-35:4180
X=400, Y=318, Pressure=1819, Time=2016-05-16-17-33-35:4240
X=405, Y=316, Pressure=1831, Time=2016-05-16-17-33-35:4280
X=410, Y=314, Pressure=1831, Time=2016-05-16-17-33-35:4340
X=414, Y=311, Pressure=1825, Time=2016-05-16-17-33-35:4380
X=419, Y=309, Pressure=1827, Time=2016-05-16-17-33-35:4440
X=423, Y=307, Pressure=1819, Time=2016-05-16-17-33-35:4480
X=426, Y=305, Pressure=1827, Time=2016-05-16-17-33-35:4540
X=430, Y=303, Pressure=1817, Time=2016-05-16-17-33-35:4580
X=432, Y=302, Pressure=1835, Time=2016-05-16-17-33-35:4640
X=435, Y=301, Pressure=1815, Time=2016-05-16-17-33-35:4680
X=437, Y=300, Pressure=1817, Time=2016-05-16-17-33-35:4740
X=438, Y=300, Pressure=1827, Time=2016-05-16-17-33-35:4780
X=439, Y=300, Pressure=1827, Time=2016-05-16-17-33-35:4850
X=439, Y=300, Pressure=1823, Time=2016-05-16-17-33-35:4880
X=439, Y=300, Pressure=1804, Time=2016-05-16-17-33-35:4940
X=439, Y=300, Pressure=1800, Time=2016-05-16-17-33-35:4980
X=439, Y=301, Pressure=1827, Time=2016-05-16-17-33-35:5040
X=438, Y=302, Pressure=1815, Time=2016-05-16-17-33-35:5080
X=437, Y=305, Pressure=1808, Time=2016-05-16-17-33-35:5140
X=435, Y=308, Pressure=1798, Time=2016-05-16-17-33-35:5180
X=431, Y=313, Pressure=1823, Time=2016-05-16-17-33-35:5240
X=429, Y=317, Pressure=1819, Time=2016-05-16-17-33-35:5280
X=426, Y=321, Pressure=1796, Time=2016-05-16-17-33-35:5340
X=422, Y=325, Pressure=1817, Time=2016-05-16-17-33-35:5380
X=419, Y=329, Pressure=1813, Time=2016-05-16-17-33-35:5440
X=416, Y=333, Pressure=1792, Time=2016-05-16-17-33-35:5500
X=413, Y=337, Pressure=1788, Time=2016-05-16-17-33-35:5540
X=410, Y=341, Pressure=1782, Time=2016-05-16-17-33-35:5600
X=408, Y=344, Pressure=1774, Time=2016-05-16-17-33-35:5640
X=405, Y=348, Pressure=1782, Time=2016-05-16-17-33-35:5700
X=403, Y=351, Pressure=1776, Time=2016-05-16-17-33-35:5740
X=401, Y=354, Pressure=1745, Time=2016-05-16-17-33-35:5800
X=399, Y=356, Pressure=1737, Time=2016-05-16-17-33-35:5840
X=398, Y=358, Pressure=1739, Time=2016-05-16-17-33-35:5900
X=397, Y=360, Pressure=1725, Time=2016-05-16-17-33-35:5940
X=397, Y=361, Pressure=1729, Time=2016-05-16-17-33-35:6000
X=397, Y=362, Pressure=1743, Time=2016-05-16-17-33-35:6040
X=397, Y=362, Pressure=1747, Time=2016-05-16-17-33-35:6100
X=397, Y=362, Pressure=1743, Time=2016-05-16-17-33-35:6140
X=398, Y=363, Pressure=1764, Time=2016-05-16-17-33-35:6200
X=399, Y=363, Pressure=1745, Time=2016-05-16-17-33-35:6240
X=401, Y=363, Pressure=1739, Time=2016-05-16-17-33-35:6300
X=403, Y=362, Pressure=1755, Time=2016-05-16-17-33-35:6340
X=407, Y=362, Pressure=1766, Time=2016-05-16-17-33-35:6400
X=410, Y=360, Pressure=1759, Time=2016-05-16-17-33-35:6440
X=413, Y=358, Pressure=1764, Time=2016-05-16-17-33-35:6510
X=419, Y=356, Pressure=1788, Time=2016-05-16-17-33-35:6540
X=423, Y=353, Pressure=1774, Time=2016-05-16-17-33-35:6600
X=428, Y=351, Pressure=1784, Time=2016-05-16-17-33-35:6640
X=432, Y=349, Pressure=1780, Time=2016-05-16-17-33-35:6700
X=436, Y=346, Pressure=1788, Time=2016-05-16-17-33-35:6740
X=440, Y=344, Pressure=1782, Time=2016-05-16-17-33-35:6810
X=444, Y=342, Pressure=1780, Time=2016-05-16-17-33-35:6840
X=448, Y=340, Pressure=1764, Time=2016-05-16-17-33-35:6900
X=452, Y=338, Pressure=1792, Time=2016-05-16-17-33-35:6940
X=455, Y=337, Pressure=1798, Time=2016-05-16-17-33-35:7000
X=458, Y=336, Pressure=1778, Time=2016-05-16-17-33-35:7040
X=461, Y=335, Pressure=1808, Time=2016-05-16-17-33-35:7100
X=463, Y=335, Pressure=1819, Time=2016-05-16-17-33-35:7160
X=465, Y=335, Pressure=1841, Time=2016-05-16-17-33-35:7200
X=466, Y=335, Pressure=1862, Time=2016-05-16-17-33-35:7260
X=467, Y=335, Pressure=1878, Time=2016-05-16-17-33-35:7300
X=467, Y=335, Pressure=1866, Time=2016-05-16-17-33-35:7360
X=468, Y=335, Pressure=1866, Time=2016-05-16-17-33-35:7400
X=468, Y=336, Pressure=1878, Time=2016-05-16-17-33-35:7460
X=468, Y=337, Pressure=1862, Time=2016-05-16-17-33-35:7500
X=468, Y=339, Pressure=1866, Time=2016-05-16-17-33-35:7560
X=467, Y=342, Pressure=1864, Time=2016-05-16-17-33-35:7600
X=466, Y=343, Pressure=1845, Time=2016-05-16-17-33-35:7660
X=463, Y=347, Pressure=1862, Time=2016-05-16-17-33-35:7700
X=459, Y=353, Pressure=1843, Time=2016-05-16-17-33-35:7760
X=457, Y=356, Pressure=1831, Time=2016-05-16-17-33-35:7800
X=453, Y=360, Pressure=1819, Time=2016-05-16-17-33-35:7860
X=450, Y=365, Pressure=1827, Time=2016-05-16-17-33-35:7900
X=446, Y=369, Pressure=1784, Time=2016-05-16-17-33-35:7960
X=443, Y=373, Pressure=1714, Time=2016-05-16-17-33-35:8000
X=439, Y=377, Pressure=1665, Time=2016-05-16-17-33-35:8060
X=436, Y=380, Pressure=1531, Time=2016-05-16-17-33-35:8100
X=433, Y=384, Pressure=1381, Time=2016-05-16-17-33-35:8160
X=430, Y=387, Pressure=1157, Time=2016-05-16-17-33-35:8200
X=427, Y=390, Pressure=957, Time=2016-05-16-17-33-35:8260
X=424, Y=393, Pressure=789, Time=2016-05-16-17-33-35:8300
X=421, Y=395, Pressure=581, Time=2016-05-16-17-33-35:8360
X=342, Y=396, Pressure=1723, Time=2016-05-16-17-33-35:9980
X=342, Y=397, Pressure=1717, Time=2016-05-16-17-33-35:9990
X=342, Y=397, Pressure=1725, Time=2016-05-16-17-33-36:0020
X=342, Y=398, Pressure=1749, Time=2016-05-16-17-33-36:0080
X=341, Y=400, Pressure=1757, Time=2016-05-16-17-33-36:0120
X=341, Y=401, Pressure=1753, Time=2016-05-16-17-33-36:0180
X=341, Y=403, Pressure=1776, Time=2016-05-16-17-33-36:0220
X=341, Y=405, Pressure=1792, Time=2016-05-16-17-33-36:0280
X=341, Y=407, Pressure=1790, Time=2016-05-16-17-33-36:0320
X=341, Y=408, Pressure=1796, Time=2016-05-16-17-33-36:0380
X=342, Y=412, Pressure=1792, Time=2016-05-16-17-33-36:0420
X=342, Y=414, Pressure=1772, Time=2016-05-16-17-33-36:0480
X=344, Y=418, Pressure=1764, Time=2016-05-16-17-33-36:0520
X=346, Y=420, Pressure=1766, Time=2016-05-16-17-33-36:0580
X=348, Y=423, Pressure=1719, Time=2016-05-16-17-33-36:0620
X=349, Y=424, Pressure=1661, Time=2016-05-16-17-33-36:0690
X=351, Y=426, Pressure=1621, Time=2016-05-16-17-33-36:0720
X=353, Y=427, Pressure=1506, Time=2016-05-16-17-33-36:0780
X=354, Y=428, Pressure=1379, Time=2016-05-16-17-33-36:0820
X=355, Y=428, Pressure=1200, Time=2016-05-16-17-33-36:0880
X=356, Y=428, Pressure=893, Time=2016-05-16-17-33-36:0920
X=357, Y=429, Pressure=139, Time=2016-05-16-17-33-36:0980
X=375, Y=406, Pressure=1492, Time=2016-05-16-17-33-36:1880
X=376, Y=406, Pressure=1586, Time=2016-05-16-17-33-36:1890
X=376, Y=406, Pressure=1657, Time=2016-05-16-17-33-36:1940
X=376, Y=406, Pressure=1704, Time=2016-05-16-17-33-36:1980
X=377, Y=406, Pressure=1737, Time=2016-05-16-17-33-36:2040
X=378, Y=405, Pressure=1770, Time=2016-05-16-17-33-36:2080
X=378, Y=405, Pressure=1788, Time=2016-05-16-17-33-36:2141
X=379, Y=406, Pressure=1792, Time=2016-05-16-17-33-36:2181
X=380, Y=406, Pressure=1804, Time=2016-05-16-17-33-36:2241
X=381, Y=407, Pressure=1790, Time=2016-05-16-17-33-36:2281
X=382, Y=408, Pressure=1780, Time=2016-05-16-17-33-36:2341
X=383, Y=410, Pressure=1788, Time=2016-05-16-17-33-36:2381
X=384, Y=411, Pressure=1774, Time=2016-05-16-17-33-36:2441
X=385, Y=413, Pressure=1749, Time=2016-05-16-17-33-36:2481
X=386, Y=414, Pressure=1708, Time=2016-05-16-17-33-36:2541
X=387, Y=416, Pressure=1616, Time=2016-05-16-17-33-36:2581
X=388, Y=416, Pressure=1494, Time=2016-05-16-17-33-36:2641
X=390, Y=418, Pressure=1330, Time=2016-05-16-17-33-36:2691
X=391, Y=419, Pressure=965, Time=2016-05-16-17-33-36:2741
X=392, Y=420, Pressure=797, Time=2016-05-16-17-33-36:2781
X=392, Y=420, Pressure=656, Time=2016-05-16-17-33-36:2841
X=394, Y=421, Pressure=481, Time=2016-05-16-17-33-36:2881
X=406, Y=394, Pressure=1770, Time=2016-05-16-17-33-36:3941
X=407, Y=394, Pressure=1786, Time=2016-05-16-17-33-36:3951
X=408, Y=395, Pressure=1819, Time=2016-05-16-17-33-36:4001
X=409, Y=395, Pressure=1851, Time=2016-05-16-17-33-36:4041
X=411, Y=397, Pressure=1835, Time=2016-05-16-17-33-36:4101
X=413, Y=400, Pressure=1849, Time=2016-05-16-17-33-36:4141
X=414, Y=402, Pressure=1855, Time=2016-05-16-17-33-36:4201
X=415, Y=404, Pressure=1843, Time=2016-05-16-17-33-36:4241
X=417, Y=406, Pressure=1835, Time=2016-05-16-17-33-36:4301
X=419, Y=409, Pressure=1837, Time=2016-05-16-17-33-36:4361
X=421, Y=411, Pressure=1823, Time=2016-05-16-17-33-36:4401
X=423, Y=413, Pressure=1806, Time=2016-05-16-17-33-36:4461
X=425, Y=415, Pressure=1784, Time=2016-05-16-17-33-36:4501
X=427, Y=416, Pressure=1731, Time=2016-05-16-17-33-36:4561
X=429, Y=418, Pressure=1651, Time=2016-05-16-17-33-36:4601
X=431, Y=419, Pressure=1547, Time=2016-05-16-17-33-36:4661
X=433, Y=420, Pressure=1384, Time=2016-05-16-17-33-36:4701
